DEPT,SP,NEUT,GR,CALI,̂,LLD
2982.4,22.90584959,2.61564115,19.98340461,0.28289947,285.26133548,
2982.6,22.52684693,2.58827166,20.07522609,0.28748934,281.55096478,
2982.8,22.3536757,2.5706051,20.21395715,0.29250281,285.49370455,
2983.0,22.31440723,2.57297386,20.35203118,0.30019138,295.63332368,
2983.2,22.30259001,2.59156484,20.46569511,0.30856548,309.67886237,
2983.4,22.28181814,2.61539709,20.51612674,0.31090707,326.48854535,
2983.6,22.28883853,2.6388015,20.4498321,0.30086771,344.62206685,
2983.8,22.34462785,2.66600507,20.2423049,0.27957859,359.56189196,
2984.0,22.37479778,2.70431141,19.9217453,0.25762742,363.93035586,
2984.2,22.23329824,2.75479177,19.54778017,0.24802069,352.63442176,
2984.4,21.81820037,2.81151832,19.17360751,0.25606329,328.64900291,
2984.6,21.17046123,2.86866864,18.83830713,0.27457874,303.09765283,
2984.8,20.45544122,2.92487111,18.58231718,0.28920995,288.05015445,
2985.0,19.8501253,2.97990108,18.44442731,0.28889281,288.23226697,
2985.2,19.44264291,3.03018715,18.43147052,0.27313522,299.2330028,
2985.4,19.22127855,3.06991567,18.50069578,0.25129349,312.97482234,
2985.6,19.13164292,3.09418712,18.58518002,0.23545734,324.26493317,
2985.8,19.12286488,3.09891707,18.64588498,0.23226549,332.79292575,
2986.0,19.14642718,3.07885043,18.69782531,0.2391969,340.17061189,
2986.2,19.15493154,3.02935251,18.77355121,0.24754144,346.70753043,
2986.4,19.12733682,2.9546809,18.86929035,0.24987432,350.85180721,
2986.6,19.09604287,2.87288726,18.94924315,0.24606021,350.98383837,
2986.8,19.12715525,2.80971546,19.01805064,0.24277157,347.50914796,
2987.0,19.26404553,2.7839771,19.16999677,0.24703818,342.88944211,
2987.2,19.49373256,2.79736442,19.51459754,0.25976007,339.17678525,
2987.4,19.77013777,2.83897199,20.02134336,0.27509187,335.28182192,
2987.6,20.06158869,2.90012295,20.46390021,0.28544223,327.73053567,
2987.8,20.36756417,2.98086966,20.56644415,0.2873932,315.92738551,
2988.0,20.69156116,3.07799753,20.22428734,0.28358427,306.33732824,
2988.2,21.00870998,3.16652439,19.57232366,0.27985863,308.71853631,
2988.4,21.27003066,3.20151115,18.84579027,0.28141302,325.94733517,
2988.6,21.43814571,3.14926863,18.21136507,0.29032614,348.51858344,
2988.8,21.51470381,3.02182973,17.74220839,0.30540439,362.23449139,
2989.0,21.53096269,2.87480853,17.49498474,0.32305117,362.61532541,
2989.2,21.52091362,2.76498076,17.52511072,0.3380127,360.04432905,
2989.4,21.50546157,2.70778571,17.80318525,0.34452468,368.96972129,
2989.6,21.4981369,2.67820625,18.17703538,0.33871025,392.55275314,
2989.8,21.50765512,2.64974738,18.47139281,0.32099236,419.62517162,
2990.0,21.52848309,2.62434392,18.62720982,0.29689526,436.31427505,
2990.2,21.53548871,2.62141041,18.71701765,0.2747951,438.74458825,
2990.4,21.50702416,2.64602614,18.83087556,0.26165621,433.90621649,
2990.6,21.46431987,2.67727999,18.98855357,0.25868961,430.36123201,
2990.8,21.47870886,2.68897248,19.15943518,0.26008931,430.75690159,
2991.0,21.6219586,2.67532959,19.3197431,0.25654494,432.71215851,
2991.2,21.90294313,2.65362094,19.4531929,0.24220071,433.74788533,
2991.4,22.25484807,2.64635539,19.53162735,0.21996763,433.29373998,
2991.6,22.58818915,2.66414684,19.54665228,0.20004587,430.92893207,
2991.8,22.86318368,2.70160881,19.56331115,0.19168662,425.11883993,
2992.0,23.11237242,2.74654219,19.68521184,0.19540104,414.65000037,
2992.2,23.40035695,2.78963872,19.93710168,0.20351369,400.83115599,
2992.4,23.76279297,2.83080414,20.20812135,0.20882994,386.90227982,
2992.6,24.17662405,2.87589134,20.34303591,0.21192772,375.70795113,
2992.8,24.56953123,2.92930379,20.28964378,0.21911629,368.62234849,
2993.0,24.84757293,2.98825771,20.12337776,0.23348154,366.09985416,
2993.2,24.9256172,3.04597116,19.932899,0.24922358,368.48018299,
2993.4,24.76407795,3.09739962,19.71650629,0.25556576,375.06231442,
2993.6,24.40354742,3.13770805,19.41587326,0.24590866,382.7147679,
2993.8,23.96703518,3.15523531,19.02715482,0.22374587,387.11125286,
2994.0,23.60929208,3.13373947,18.63496874,0.20002272,386.08923709,
2994.2,23.43541589,3.06977431,18.34367339,0.1856354,380.96253012,
2994.4,23.43968058,2.99032632,18.21236855,0.18503985,373.63285701,
2994.6,23.5109502,2.94783181,18.26139969,0.19488477,363.51695349,
2994.8,23.50493059,2.98871025,18.48259,0.20770333,349.14886576,
2995.0,23.33480806,3.11888704,18.79068426,0.21797482,333.14527946,
2995.2,23.02331415,3.29675069,18.99162573,0.22604111,323.12297349,
2995.4,22.67555173,3.45854607,18.87768518,0.23629177,325.41820029,
2995.6,22.40544634,3.55662206,18.40785796,0.25061598,337.8803533,
2995.8,22.26955752,3.58185028,17.78911884,0.26388452,350.62177971,
2996.0,22.25308855,3.5580817,17.35624401,0.26740011,354.68797603,
2996.2,22.29670627,3.51813871,17.34156394,0.25775341,349.39879643,
2996.4,22.33782192,3.4828322,17.73084215,0.24161633,340.74323922,
2996.6,22.33763564,3.45588862,18.30440927,0.23077085,333.98912504,
2996.8,22.28267169,3.43423984,18.79274068,0.23251048,329.59979024,
