DEPT,PZ,GZ,CALI,SP
64.4,5.71348707,5.93197935,32.03071072,4.48879908
64.6,5.72228514,5.93152771,32.21629129,4.48830663
64.8,5.7310782,5.93144993,32.44499458,4.4896855
65.0,5.73986242,5.93159197,32.02290194,4.49376168
65.2,5.74867744,5.9318614,31.86748835,4.49995065
65.4,5.75758405,5.9317655,32.79748085,4.63932303
65.6,5.76240492,5.91915993,34.0281302,4.78185966
65.8,5.76561127,5.88130028,35.09593079,4.93116305
66.0,5.76877447,5.84440793,33.46917129,4.92695864
66.2,5.77195071,5.8071279,33.28039875,4.92672579
66.4,5.77513957,5.76968696,33.21539315,4.92725172
66.6,5.77832996,5.76348877,33.20356697,4.92863468
66.8,5.78152044,5.71357675,33.24076347,4.92837877
67.0,5.78471092,5.71798477,33.83281731,4.91987077
67.2,5.78790038,5.71826443,33.82926443,4.88865803
67.4,5.79110996,5.71760394,34.68500891,4.76313306
67.6,5.79443411,5.7069955,34.62613579,4.62229843
67.8,5.79783532,5.67607832,34.56414567,4.6321383
68.0,5.80077717,5.64601351,34.17757425,4.73249844
68.2,5.79165089,5.61622547,33.65993857,4.77660479
68.4,5.74505527,5.58629109,33.36582625,4.87282401
68.6,5.69919672,5.55626994,33.37927593,5.05619058
68.8,5.65350223,5.52698383,33.38202724,5.19388379
69.0,5.60779304,5.50187388,33.68773626,5.29871348
69.2,5.56225033,5.50297595,34.50982597,5.30383444
69.4,5.51631243,5.5043938,35.65610238,5.25273423
69.6,5.4688054,5.50703477,36.2375843,4.63064781
69.8,5.4882687,5.41227772,36.76704073,4.08354794
70.0,5.52329726,5.366351,37.5004248,3.62622351
70.2,5.55946967,5.33093617,37.91626439,3.35156961
70.4,5.59548812,5.2966119,38.46657348,3.20775253
70.6,5.63123973,5.27256003,38.91497672,3.32513741
70.8,5.66745931,5.25325341,39.17064273,3.82360269
71.0,5.70521298,5.23547405,39.14530828,3.39578659
71.2,5.70550793,5.21815279,40.17183014,2.72010688
71.4,5.68471508,5.20060509,40.62811174,2.46952172
71.6,5.66352858,5.18301653,39.07926982,2.0989125
71.8,5.64259287,5.16542788,38.88788069,1.86841155
72.0,5.62180456,5.14779279,38.1389965,1.58689432
72.2,5.60101726,5.13016352,36.52247473,1.36012586
72.4,5.5802441,5.11274599,36.21263615,1.08836246
72.6,5.55955396,5.09547548,35.87043149,0.70355351
72.8,5.53894217,5.07658636,35.56256758,0.37302526
73.0,5.51804721,5.09331618,35.55554139,0.20545721
73.2,5.48593661,5.11330335,35.28952124,0.0201686
73.4,5.42432774,5.13420869,36.03840012,-0.16942124
73.6,5.36324312,5.15809701,36.4670344,-0.18368024
73.8,5.3023404,5.20678928,36.53913212,-0.18381439
74.0,5.2412441,5.36313551,36.53156118,-0.18350041
74.2,5.18012667,5.48187147,36.52318205,-0.18357984
74.4,5.1196373,5.57448745,36.48951232,-0.18337333
74.6,5.05963549,5.63462214,36.08858833,-0.12287217
74.8,4.9944225,5.63898814,35.8837699,0.08699127
75.0,5.02133777,5.64445671,35.76214943,0.31503526
75.2,5.05568928,5.64991698,35.71222692,0.46656169
75.4,5.09117655,5.6551456,35.96944518,0.647643
75.6,5.12709318,5.66046418,36.45814509,0.76396292
75.8,5.16287114,5.66597783,36.63476247,0.90802911
76.0,5.19854047,5.67107664,35.94728148,1.05104695
76.2,5.23421002,5.66373597,35.53683383,1.22012943
76.4,5.26987957,5.62392901,35.22960851,1.40655627
76.6,5.30554912,5.58503136,35.21227792,3.13488889
76.8,5.34121867,5.54642329,35.42140781,3.54947453
77.0,5.37688243,5.5077455,35.79716669,3.68844495
77.2,5.41256074,5.46902059,35.9444045,3.75440604
77.4,5.44834113,5.43032581,36.26565203,3.81736148
77.6,5.48418036,5.39163127,36.37640204,3.82955876
77.8,5.51952709,5.35285274,37.99619838,3.83256265
78.0,5.55015515,5.31395856,38.93359956,3.83363532
78.2,5.56029353,5.27537432,35.9108699,3.83325905
78.4,5.57138057,5.23767819,35.53136769,3.82669981
78.6,5.58272368,5.20706308,35.29061811,3.91098382
78.8,5.59401012,5.25065061,35.46452411,3.89978955
79.0,5.60525201,5.29072831,35.85930417,4.00086408
79.2,5.61651392,5.33115132,36.35649737,4.10581713
79.4,5.62777583,5.37202724,36.4083692,4.22894744
79.6,5.63903774,5.41291161,36.16659685,4.92688453
79.8,5.65029966,5.45369825,36.01230953,5.35779935
80.0,5.66156157,5.49452239,35.52225916,6.01434537
80.2,5.67282348,5.5352534,35.78013471,6.62924588
80.4,5.6840854,5.57595031,32.47283409,7.08038653
80.6,5.69534731,5.61730941,32.36029443,7.56686063
80.8,5.70660922,5.66058031,32.35605806,7.77056501
81.0,5.71787114,5.65616643,32.37715406,7.992003
81.2,5.72913305,5.62342185,32.38704528,8.21151363
81.4,5.74039496,5.59020374,32.26669344,8.41628052
81.6,5.75165688,5.55729375,32.18582395,8.50441804
81.8,5.76291879,5.52469114,31.9298023,8.48330334
